lsoa code,postcode,lsoa name,msoa code,msoa name,ward code,ccg code,local authority code,lsoa 2001 code,lsoa 2011 code,msoa 2001 code,msoa 2011 code
S01006531,AB10 7HU,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006529,AB10 7HW,Garthdee - 04,S02001239,Garthdee,S13002845,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006531,AB10 7HX,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006530,AB10 7HY,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006529,AB10 7HZ,Garthdee - 04,S02001239,Garthdee,S13002845,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006530,AB10 7JA,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006530,AB10 7JB,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006600,AB10 7JD,Ferryhill South - 03,S02001252,Ferryhill South,S13002846,012,S12000033,S01000053,S01006600,S02000010,S02001252
S01006530,AB10 7JE,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006530,AB10 7JF,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006530,AB10 7JG,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006529,AB10 7JH,Garthdee - 04,S02001239,Garthdee,S13002845,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006530,AB10 7JJ,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006531,AB10 7JL,Garthdee - 06,S02001239,Garthdee,S13002845,012,S12000033,S01000044,S01006531,S02000008,S02001239
S01006529,AB10 7JN,Garthdee - 04,S02001239,Garthdee,S13002846,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006529,AB10 7JP,Garthdee - 04,S02001239,Garthdee,S13002846,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006599,AB10 7JQ,Ferryhill South - 02,S02001252,Ferryhill South,S13002845,012,S12000033,S01000047,S01006599,S02000010,S02001252
S01006599,AB10 7JR,Ferryhill South - 02,S02001252,Ferryhill South,S13002845,012,S12000033,S01000047,S01006599,S02000010,S02001252
S01006599,AB10 7JS,Ferryhill South - 02,S02001252,Ferryhill South,S13002845,012,S12000033,S01000047,S01006599,S02000010,S02001252
S01006599,AB10 7JT,Ferryhill South - 02,S02001252,Ferryhill South,S13002845,012,S12000033,S01000047,S01006599,S02000010,S02001252
S01006529,AB10 7JU,Garthdee - 04,S02001239,Garthdee,S13002845,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006529,AB10 7JW,Garthdee - 04,S02001239,Garthdee,S13002845,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006599,AB10 7JX,Ferryhill South - 02,S02001252,Ferryhill South,S13002845,012,S12000033,S01000047,S01006599,S02000010,S02001252
S01006529,AB10 7JY,Garthdee - 04,S02001239,Garthdee,S13002845,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006532,AB10 7JZ,"Braeside, Mannofield, Broomhill and Seafield East - 01",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,012,S12000033,S01000050,S01006532,S02000011,S02001240
S01006599,AB10 7LA,Ferryhill South - 02,S02001252,Ferryhill South,S13002845,012,S12000033,S01000047,S01006599,S02000010,S02001252
S01006599,AB10 7LB,Ferryhill South - 02,S02001252,Ferryhill South,S13002845,012,S12000033,S01000047,S01006599,S02000010,S02001252
S01006599,AB10 7LD,Ferryhill South - 02,S02001252,Ferryhill South,S13002845,012,S12000033,S01000047,S01006599,S02000010,S02001252
S01006600,AB10 7LE,Ferryhill South - 03,S02001252,Ferryhill South,S13002846,012,S12000033,S01000053,S01006600,S02000010,S02001252
S01006600,AB10 7LF,Ferryhill South - 03,S02001252,Ferryhill South,S13002846,012,S12000033,S01000053,S01006600,S02000010,S02001252
S01006600,AB10 7LG,Ferryhill South - 03,S02001252,Ferryhill South,S13002846,012,S12000033,S01000053,S01006600,S02000010,S02001252
S01006600,AB10 7LH,Ferryhill South - 03,S02001252,Ferryhill South,S13002846,012,S12000033,S01000053,S01006600,S02000010,S02001252
S01006599,AB10 7LJ,Ferryhill South - 02,S02001252,Ferryhill South,S13002845,012,S12000033,S01000047,S01006599,S02000010,S02001252
S01006599,AB10 7LL,Ferryhill South - 02,S02001252,Ferryhill South,S13002845,012,S12000033,S01000047,S01006599,S02000010,S02001252
S01006532,AB10 7LN,"Braeside, Mannofield, Broomhill and Seafield East - 01",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,012,S12000033,S01000050,S01006532,S02000011,S02001240
