lsoa code,postcode,lsoa name,msoa code,msoa name,ward code,ccg code,local authority code,lsoa 2001 code,lsoa 2011 code,msoa 2001 code,msoa 2011 code
S01006608,AB10 6ZG,"Kincorth, Leggart and Nigg South - 01",S02001254,"Kincorth, Leggart and Nigg South",S13002847,012,S12000033,S01000012,S01006608,S02000002,S02001254
S01006608,AB10 6ZH,"Kincorth, Leggart and Nigg South - 01",S02001254,"Kincorth, Leggart and Nigg South",S13002847,012,S12000033,S01000012,S01006608,S02000002,S02001254
S01006536,AB10 6ZJ,"Braeside, Mannofield, Broomhill and Seafield East - 05",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,012,S12000033,S01000080,S01006536,S02000011,S02001240
S01006536,AB10 6ZL,"Braeside, Mannofield, Broomhill and Seafield East - 05",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,012,S12000033,S01000080,S01006536,S02000011,S02001240
S01006580,AB10 6ZN,West End South - 06,S02001248,West End South,S13002844,012,S12000033,S01000095,S01006580,S02000017,S02001248
S01006608,AB10 6ZP,"Kincorth, Leggart and Nigg South - 01",S02001254,"Kincorth, Leggart and Nigg South",S13002847,012,S12000033,S01000012,S01006608,S02000002,S02001254
S01006608,AB10 6ZR,"Kincorth, Leggart and Nigg South - 01",S02001254,"Kincorth, Leggart and Nigg South",S13002847,012,S12000033,S01000012,S01006608,S02000002,S02001254
S01006536,AB10 6ZS,"Braeside, Mannofield, Broomhill and Seafield East - 05",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,012,S12000033,S01000080,S01006536,S02000011,S02001240
S01006608,AB10 6ZT,"Kincorth, Leggart and Nigg South - 01",S02001254,"Kincorth, Leggart and Nigg South",S13002847,012,S12000033,S01000012,S01006608,S02000002,S02001254
S01006608,AB10 6ZW,"Kincorth, Leggart and Nigg South - 01",S02001254,"Kincorth, Leggart and Nigg South",S13002847,012,S12000033,S01000012,S01006608,S02000002,S02001254
S01006608,AB10 6ZX,"Kincorth, Leggart and Nigg South - 01",S02001254,"Kincorth, Leggart and Nigg South",S13002847,012,S12000033,S01000012,S01006608,S02000002,S02001254
S01006528,AB10 7AA,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7AB,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7AD,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7AE,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
